timestamp,git_sha,machine,engine,label,write_ms,warm_open_ms,cold_open_ms,lookup_us,append_ms,append_puts_ms,append_sync_ms,append_loop_ms,append_sync_all_ms,files_bytes,mem_bytes,mem_label
2026-09-14T03:21:06+00:00,5bbc282,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",sqlite,0.1,2817.0,0.0,0.0,30.2,42.5,41.0,1.4,,,457773056,457773056,file_bytes
2026-09-14T03:24:51+00:00,1570c52,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",mtxdb,0.1,220.1,4.9,4.88,0.32,7.18,4.54,2.65,1.55,0.06,105449644,2099712,index_bytes
2026-09-14T03:24:51+00:00,1570c52,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",mdbx,0.1,283.7,0.54,0.52,0.66,6.8,5.5,1.3,,,201326592,201326592,file_bytes
2026-09-14T03:24:51+00:00,1570c52,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",sqlite,0.1,3038.1,0.04,0.06,31.16,49.25,47.6,1.65,,,457773056,457773056,file_bytes
2026-09-14T03:31:01+00:00,23785f6,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",mtxdb,0.1,202.6,4.71,4.74,0.3,6.34,4.01,2.33,1.39,0.05,105449644,2099712,index_bytes
2026-09-14T03:31:01+00:00,23785f6,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",mdbx,0.1,295.2,0.55,0.54,0.85,8.46,6.87,1.59,,,201326592,201326592,file_bytes
2026-09-14T03:31:01+00:00,23785f6,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",sqlite,0.1,3000.5,0.12,0.11,30.5,42.76,41.27,1.49,,,457773056,457773056,file_bytes
2026-09-14T03:33:55+00:00,d9e1916,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",mtxdb,0.1,201.9,4.76,4.78,0.31,6.77,4.16,2.61,1.55,0.05,105449644,2099712,index_bytes
2026-09-14T03:33:55+00:00,d9e1916,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",mdbx,0.1,265.3,0.57,0.58,0.56,7.28,5.66,1.62,,,201326592,201326592,file_bytes
2026-09-14T03:33:55+00:00,d9e1916,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",sqlite,0.1,2696.5,0.1,0.11,29.21,41.05,39.6,1.45,,,457773056,457773056,file_bytes
